Region,Year,Avg Precipitation,Avg Max Temp
north-east,1978,827.8571428571429,24.214285714285715
north-east,1979,864.9,24.11428571428571
north-east,1980,891.6857142857143,22.71666666666667
north-east,1981,874.7285714285715,23.566666666666666
north-east,1982,891.2285714285715,24.571428571428573
north-east,1983,797.0857142857143,28.47142857142857
north-east,1984,818.2428571428571,25.771428571428572
north-east,1985,853.842857142857,24.057142857142857
north-east,1986,919.9142857142857,24.385714285714283
north-east,1987,765.8714285714286,25.085714285714285
north-east,1988,852.8000000000001,23.714285714285715
north-east,1989,734.6571428571427,28.02857142857143
north-east,1990,911.6714285714286,27.842857142857145
north-east,1991,767.3285714285714,24.683333333333334
north-east,1992,817.8666666666667,24.016666666666666
north-east,1993,939.2571428571428,23.285714285714285
north-east,1994,921.275,23.2
north-east,1995,832.9142857142857,27.97142857142857
north-east,1996,822.9625,25.2
north-east,1997,810.4,25.1625
north-east,1998,984.1875,24.557142857142857
north-east,1999,925.0428571428572,26.016666666666666
north-east,2000,919.7,25.7875
north-east,2001,658.4,25.6625
north-east,2002,1078.3625,24.02857142857143
north-east,2003,699.4875,27.1875
north-east,2004,819.4285714285714,24.766666666666666
north-east,2005,759.8571428571429,26.228571428571428
north-east,2006,866.8714285714286,28.285714285714285
north-east,2007,853.0333333333333,23.333333333333332
north-east,2008,1012.6600000000001,22.8975
north-east,2009,1006.2333333333335,25.391666666666666
north-east,2010,764.2333333333332,24.296666666666667
north-east,2011,851.9666666666667,24.301666666666666
north-east,2012,937.5666666666666,23.78333333333333
north-east,2013,834.1285714285714,27.057142857142857
north-east,2014,993.4714285714286,25.25142857142857
north-east,2015,1035.2285714285715,24.56
north-east,2016,807.9857142857143,25.947142857142858
north-east,2017,807.7857142857143,26.490000000000002
north-east,2018,714.8,27.906
north-east,2019,929.1200000000001,24.990000000000002
north-east,2020,940.6142857142858,24.99142857142857
north-east,2021,794.8285714285714,27.701428571428572
north-east,2022,846.0714285714286,29.795714285714286
north-east,2023,1051.0285714285715,27.055714285714288
north-west,1941,844.9,
north-west,1942,1196.7,
north-west,1943,1163.1,
north-west,1944,1106.45,
north-west,1945,1047.65,
north-west,1946,1094.35,
north-west,1947,1110.7,
north-west,1948,1147.15,
north-west,1949,1089.05,
north-west,1950,1286.65,28.2
