Station ID,year,n_rain,R5mm,R10mm,R20mm,SDII,PRCPTOT,CDD,CWD,Rx1day,Rx5day,R95pTOT,R99pTOT,n_maxdy,n_mindy,FD,TR,SU,ID,TNn,TNx,TXn,TXx,DTR,TN10p,TN90p,TX10p,TX90p,WSDI,CSDI,GSL,Latitude,Longitude,Direction
BELMULLET,1959,365,78.0,27.0,2.0,5.778,1034.3,41.3,52.9,101.9,41.3,12.0,20.0,365.0,365.0,15.0,0.0,0.0,0.0,-4.2,15.8,1.8,23.3,5.754,6.849,17.808,3.836,21.37,27.0,0.0,322.0,54.2,-10.0,north-west
BELMULLET,1960,366,84.0,31.0,3.0,5.804,1114.3,28.6,59.3,176.5,28.6,18.0,18.0,366.0,366.0,14.0,0.0,0.0,0.0,-3.8,15.4,3.9,23.3,5.757,7.104,12.022,4.918,9.29,0.0,0.0,320.0,54.2,-10.0,north-west
BELMULLET,1961,365,85.0,33.0,8.0,6.325,1227.1,45.6,89.9,320.4,112.4,14.0,16.0,365.0,365.0,18.0,0.0,0.0,0.0,-5.1,16.6,2.3,20.6,5.19,9.258,12.811,9.164,11.592,0.0,0.0,352.0,54.2,-10.0,north-west
BELMULLET,1962,365,74.0,32.0,5.0,6.152,1027.4,33.1,68.6,215.1,59.5,19.0,14.0,365.0,365.0,14.0,0.0,0.0,0.0,-5.5,14.3,1.9,22.2,5.589,11.157,5.309,13.0,7.189,6.0,6.0,346.0,54.2,-10.0,north-west
BELMULLET,1963,365,77.0,34.0,2.0,5.855,1030.4,33.5,64.8,132.4,33.5,11.0,9.0,365.0,365.0,35.0,0.0,3.0,0.0,-6.4,15.6,0.8,26.6,5.429,13.869,4.95,21.927,4.469,0.0,7.0,285.0,54.2,-10.0,north-west
BELMULLET,1964,366,70.0,25.0,6.0,5.58,1009.9,31.1,63.9,201.8,31.1,14.0,13.0,366.0,366.0,8.0,0.0,0.0,0.0,-2.7,14.4,4.5,22.7,5.353,7.98,12.229,4.249,12.38,0.0,0.0,356.0,54.2,-10.0,north-west
BELMULLET,1965,365,84.0,26.0,3.0,5.527,1088.9,29.0,68.2,134.1,29.0,16.0,15.0,365.0,365.0,19.0,0.0,0.0,0.0,-4.3,15.5,3.6,20.4,5.474,13.755,6.339,15.144,5.376,6.0,0.0,323.0,54.2,-10.0,north-west
BELMULLET,1966,365,77.0,31.0,4.0,5.725,1185.0,34.4,55.3,270.4,67.0,13.0,12.0,365.0,365.0,10.0,0.0,0.0,0.0,-4.9,14.3,0.6,21.1,5.012,6.547,10.298,10.08,8.682,0.0,7.0,359.0,54.2,-10.0,north-west
BELMULLET,1967,365,84.0,21.0,3.0,5.363,1110.2,33.2,57.2,158.8,63.9,16.0,15.0,365.0,365.0,7.0,0.0,0.0,0.0,-1.0,15.1,4.1,21.2,5.206,9.079,8.739,8.418,3.855,0.0,0.0,350.0,54.2,-10.0,north-west
BELMULLET,1968,366,64.0,24.0,6.0,6.0,1014.0,43.6,91.0,185.3,100.5,12.0,13.0,366.0,366.0,25.0,0.0,0.0,0.0,-3.2,15.8,2.6,23.0,6.162,15.564,8.065,6.152,12.163,7.0,6.0,349.0,54.2,-10.0,north-west
BELMULLET,1969,365,73.0,17.0,2.0,5.336,944.4,43.4,62.6,84.4,43.4,17.0,13.0,365.0,365.0,23.0,0.0,0.0,0.0,-6.2,14.7,1.3,23.4,5.794,11.856,9.4,9.306,10.175,0.0,6.0,341.0,54.2,-10.0,north-west
BELMULLET,1970,365,78.0,25.0,6.0,5.723,1144.5,38.9,64.0,287.3,135.5,24.0,13.0,365.0,365.0,19.0,0.0,0.0,0.0,-2.5,14.8,3.7,23.3,5.408,8.361,10.553,10.128,10.165,7.0,0.0,342.0,54.2,-10.0,north-west
BELMULLET,1971,365,67.0,22.0,2.0,5.527,895.4,29.7,66.0,135.9,29.7,17.0,10.0,365.0,365.0,5.0,0.0,0.0,0.0,-2.0,15.4,4.7,23.2,5.687,8.351,16.58,3.807,19.348,18.0,0.0,355.0,54.2,-10.0,north-west
BELMULLET,1972,366,68.0,20.0,2.0,5.296,932.1,31.6,58.9,125.4,31.6,17.0,18.0,366.0,366.0,17.0,0.0,0.0,0.0,-4.7,14.0,3.4,22.8,5.88,13.463,4.777,14.65,9.817,0.0,0.0,318.0,54.2,-10.0,north-west
BELMULLET,1973,365,78.0,29.0,7.0,6.015,1052.6,31.8,94.0,248.2,31.8,16.0,11.0,365.0,365.0,8.0,0.0,2.0,0.0,-1.8,15.5,3.7,27.4,5.567,8.238,11.838,6.377,11.223,7.0,0.0,352.0,54.2,-10.0,north-west
BELMULLET,1974,365,86.0,36.0,1.0,5.771,1188.8,22.4,51.9,148.0,0.0,15.0,16.0,365.0,365.0,6.0,0.0,1.0,0.0,-1.4,15.6,5.9,25.7,5.6,9.296,7.407,10.666,9.523,14.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,1975,365,67.0,23.0,1.0,5.331,916.9,21.9,54.1,112.4,0.0,20.0,19.0,365.0,365.0,5.0,0.0,1.0,0.0,-2.9,16.7,5.4,27.4,5.592,10.628,14.672,5.546,12.008,7.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,1976,366,65.0,20.0,2.0,5.48,953.6,22.3,49.9,169.4,0.0,17.0,10.0,366.0,366.0,10.0,0.0,8.0,0.0,-2.7,18.0,2.8,28.7,5.725,6.51,12.71,8.131,16.61,19.0,0.0,359.0,54.2,-10.0,north-west
BELMULLET,1977,365,66.0,27.0,3.0,5.669,1077.2,57.8,99.8,221.8,87.7,15.0,19.0,365.0,365.0,12.0,0.0,0.0,0.0,-4.9,15.3,2.6,22.8,5.379,8.786,10.26,7.237,9.041,7.0,0.0,326.0,54.2,-10.0,north-west
BELMULLET,1978,365,85.0,28.0,3.0,5.927,1072.8,40.2,79.6,124.8,71.2,11.0,12.0,365.0,365.0,20.0,0.0,0.0,0.0,-4.6,15.5,0.7,23.9,5.033,7.501,12.282,13.963,11.431,0.0,0.0,328.0,54.2,-10.0,north-west
BELMULLET,1979,365,80.0,28.0,4.0,5.569,1175.0,38.2,58.4,216.9,104.7,7.0,17.0,365.0,365.0,24.0,0.0,0.0,0.0,-6.0,15.1,1.6,21.9,5.12,12.981,8.002,21.512,5.442,7.0,0.0,300.0,54.2,-10.0,north-west
BELMULLET,1980,366,82.0,25.0,7.0,5.811,1121.6,43.6,72.2,192.3,43.6,16.0,18.0,366.0,366.0,13.0,0.0,0.0,0.0,-3.5,15.4,3.8,22.3,5.396,9.082,9.469,7.895,6.425,0.0,0.0,323.0,54.2,-10.0,north-west
BELMULLET,1981,365,77.0,34.0,5.0,6.131,1171.0,28.8,62.1,264.4,28.8,13.0,27.0,365.0,365.0,16.0,0.0,0.0,0.0,-5.2,16.7,1.5,23.5,5.307,10.458,9.967,14.624,11.63,6.0,0.0,331.0,54.2,-10.0,north-west
BELMULLET,1982,365,103.0,31.0,2.0,6.086,1138.1,25.7,62.6,86.2,0.0,17.0,21.0,365.0,365.0,13.0,0.0,0.0,0.0,-8.1,15.5,0.4,24.5,5.963,9.872,11.63,5.64,10.609,0.0,7.0,345.0,54.2,-10.0,north-west
BELMULLET,1983,365,65.0,23.0,5.0,5.336,955.2,24.9,73.3,170.1,0.0,12.0,15.0,365.0,365.0,10.0,0.0,4.0,0.0,-2.0,17.1,5.0,28.3,5.725,8.04,18.007,5.782,17.109,13.0,0.0,352.0,54.2,-10.0,north-west
BELMULLET,1984,366,78.0,35.0,10.0,7.094,1205.9,51.5,88.0,397.1,178.4,15.0,13.0,366.0,366.0,20.0,0.0,2.0,0.0,-2.5,16.8,3.5,26.4,6.244,15.611,10.138,5.069,12.436,14.0,0.0,357.0,54.2,-10.0,north-west
