Region,Year,Avg Precipitation,Avg Max Temp
north-east,1951,606.9544588744589,32.00823562699775
north-east,1952,654.1138605442177,32.42660840304824
north-east,1953,520.1109195402298,32.00756060196554
north-east,1954,726.3573811509591,32.18439200512914
north-east,1955,687.6889520714866,31.652702474796307
north-east,1956,723.3570261437909,31.48445502175944
north-east,1957,640.5744783306582,32.564600277557815
north-east,1958,696.4002409638555,31.814101268495246
north-east,1959,448.7843167701863,32.727616157333216
north-east,1960,700.3418083462134,31.88364864278679
north-east,1961,710.1634957463264,32.108815063823855
north-east,1962,550.8112128146453,31.722291744019167
north-east,1963,514.7487160120846,32.43219945324057
north-east,1964,521.2075018754689,32.377178801330146
north-east,1965,729.2803639120547,31.590802079341156
north-east,1966,748.7859922178989,32.26211134388097
north-east,1967,691.9826656394453,31.988209714584023
