year,annual,Station
1978,30.9,LOCID000040
1979,31.7,LOCID000040
1980,31.5,LOCID000040
1981,31,LOCID000040
1982,31.9,LOCID000040
1983,34.5,LOCID000040
1984,35.4,LOCID000040
1985,33.3,LOCID000040
1986,35.4,LOCID000040
1987,32.5,LOCID000040
1988,32.8,LOCID000040
1989,34.1,LOCID000040
1990,34,LOCID000040
1991,34.9,LOCID000040
1992,36.6,LOCID000040
1993,32,LOCID000040
1994,36,LOCID000040
1995,35.7,LOCID000040
1996,33.8,LOCID000040
1997,33.2,LOCID000040
1998,37.3,LOCID000040
1999,34.1,LOCID000040
2000,34.1,LOCID000040
2001,33.8,LOCID000040
2002,37.5,LOCID000040
2003,38.7,LOCID000040
2004,33.6,LOCID000040
1879,-99.9,LOCID000054
1880,-99.9,LOCID000054
1881,-99.9,LOCID000054
1882,-99.9,LOCID000054
1883,-99.9,LOCID000054
1884,-99.9,LOCID000054
1885,-99.9,LOCID000054
1886,-99.9,LOCID000054
1887,-99.9,LOCID000054
1888,-99.9,LOCID000054
1889,-99.9,LOCID000054
1890,-99.9,LOCID000054
1891,-99.9,LOCID000054
1892,-99.9,LOCID000054
1893,-99.9,LOCID000054
1894,-99.9,LOCID000054
1895,-99.9,LOCID000054
1896,-99.9,LOCID000054
1897,-99.9,LOCID000054
1898,-99.9,LOCID000054
1899,-99.9,LOCID000054
1900,-99.9,LOCID000054
1901,-99.9,LOCID000054
1902,-99.9,LOCID000054
1903,-99.9,LOCID000054
1904,-99.9,LOCID000054
1905,-99.9,LOCID000054
1906,-99.9,LOCID000054
1907,-99.9,LOCID000054
1908,-99.9,LOCID000054
1909,-99.9,LOCID000054
1910,-99.9,LOCID000054
1911,-99.9,LOCID000054
1912,-99.9,LOCID000054
1913,-99.9,LOCID000054
1914,-99.9,LOCID000054
1915,-99.9,LOCID000054
1916,-99.9,LOCID000054
1917,-99.9,LOCID000054
1918,-99.9,LOCID000054
1919,-99.9,LOCID000054
1920,-99.9,LOCID000054
1921,-99.9,LOCID000054
1922,-99.9,LOCID000054
1923,-99.9,LOCID000054
1924,-99.9,LOCID000054
1925,-99.9,LOCID000054
1926,-99.9,LOCID000054
1927,-99.9,LOCID000054
1928,-99.9,LOCID000054
1929,-99.9,LOCID000054
1930,-99.9,LOCID000054
1931,-99.9,LOCID000054
1932,-99.9,LOCID000054
1933,-99.9,LOCID000054
1934,-99.9,LOCID000054
1935,-99.9,LOCID000054
1936,-99.9,LOCID000054
1937,-99.9,LOCID000054
1938,-99.9,LOCID000054
1939,-99.9,LOCID000054
1940,-99.9,LOCID000054
1941,-99.9,LOCID000054
1942,-99.9,LOCID000054
1943,-99.9,LOCID000054
1944,-99.9,LOCID000054
1945,-99.9,LOCID000054
1946,-99.9,LOCID000054
1947,-99.9,LOCID000054
1948,-99.9,LOCID000054
1949,-99.9,LOCID000054
1950,-99.9,LOCID000054
1951,-99.9,LOCID000054
1952,-99.9,LOCID000054
1953,-99.9,LOCID000054
1954,-99.9,LOCID000054
1955,-99.9,LOCID000054
1956,-99.9,LOCID000054
1957,-99.9,LOCID000054
1958,-99.9,LOCID000054
1959,-99.9,LOCID000054
1960,-99.9,LOCID000054
1961,-99.9,LOCID000054
1962,-99.9,LOCID000054
1963,-99.9,LOCID000054
1964,-99.9,LOCID000054
1965,-99.9,LOCID000054
1966,-99.9,LOCID000054
1967,-99.9,LOCID000054
1968,-99.9,LOCID000054
1969,-99.9,LOCID000054
1970,-99.9,LOCID000054
1971,-99.9,LOCID000054
1972,-99.9,LOCID000054
1973,-99.9,LOCID000054
1974,-99.9,LOCID000054
1975,-99.9,LOCID000054
1976,-99.9,LOCID000054
1977,-99.9,LOCID000054
1978,-99.9,LOCID000054
1979,-99.9,LOCID000054
1980,-99.9,LOCID000054
1981,-99.9,LOCID000054
1982,-99.9,LOCID000054
1983,-99.9,LOCID000054
1984,-99.9,LOCID000054
1985,-99.9,LOCID000054
1986,-99.9,LOCID000054
1987,-99.9,LOCID000054
1988,-99.9,LOCID000054
1989,-99.9,LOCID000054
1990,-99.9,LOCID000054
1991,-99.9,LOCID000054
1992,-99.9,LOCID000054
1993,-99.9,LOCID000054
1994,-99.9,LOCID000054
1995,-99.9,LOCID000054
1996,-99.9,LOCID000054
1997,-99.9,LOCID000054
1998,-99.9,LOCID000054
1999,-99.9,LOCID000054
2000,-99.9,LOCID000054
2001,-99.9,LOCID000054
2002,-99.9,LOCID000054
2003,-99.9,LOCID000054
2004,-99.9,LOCID000054
1870,-99.9,LOCID000041
1871,-99.9,LOCID000041
1872,-99.9,LOCID000041
1873,-99.9,LOCID000041
1874,-99.9,LOCID000041
1875,-99.9,LOCID000041
1876,-99.9,LOCID000041
1877,-99.9,LOCID000041
1878,-99.9,LOCID000041
1879,-99.9,LOCID000041
1880,-99.9,LOCID000041
1881,-99.9,LOCID000041
1882,-99.9,LOCID000041
1883,-99.9,LOCID000041
1884,-99.9,LOCID000041
1885,-99.9,LOCID000041
1886,-99.9,LOCID000041
1887,-99.9,LOCID000041
1888,-99.9,LOCID000041
1889,-99.9,LOCID000041
1890,-99.9,LOCID000041
1891,-99.9,LOCID000041
1892,-99.9,LOCID000041
1893,-99.9,LOCID000041
1894,-99.9,LOCID000041
1895,-99.9,LOCID000041
1896,-99.9,LOCID000041
1897,-99.9,LOCID000041
1898,-99.9,LOCID000041
1899,-99.9,LOCID000041
1900,34.4,LOCID000041
1901,31.8,LOCID000041
1902,32,LOCID000041
1903,33.4,LOCID000041
1904,36.7,LOCID000041
1905,35.5,LOCID000041
1906,32.9,LOCID000041
1907,31.4,LOCID000041
1908,35.2,LOCID000041
1909,32.3,LOCID000041
1910,31,LOCID000041
1911,36.3,LOCID000041
1912,32.7,LOCID000041
1913,30,LOCID000041
1914,31.7,LOCID000041
1915,34.2,LOCID000041
1916,29.9,LOCID000041
1917,33.8,LOCID000041
1918,33.8,LOCID000041
1919,33.6,LOCID000041
1920,33.4,LOCID000041
1921,35.2,LOCID000041
1922,35.4,LOCID000041
1923,35.1,LOCID000041
1924,32.7,LOCID000041
1925,35.3,LOCID000041
1926,32,LOCID000041
1927,31.6,LOCID000041
1928,34.5,LOCID000041
1929,34.2,LOCID000041
1930,34,LOCID000041
1931,33,LOCID000041
1932,36,LOCID000041
1933,34.5,LOCID000041
1934,32.8,LOCID000041
1935,34.7,LOCID000041
1936,34.4,LOCID000041
1937,35,LOCID000041
1938,32.5,LOCID000041
1939,31.9,LOCID000041
1940,29,LOCID000041
1941,31.1,LOCID000041
1942,32.7,LOCID000041
1943,36.8,LOCID000041
1944,33.3,LOCID000041
1945,33.4,LOCID000041
1946,34,LOCID000041
1947,37.5,LOCID000041
1948,34,LOCID000041
1949,34.9,LOCID000041
1950,33.3,LOCID000041
1951,33.5,LOCID000041
1952,36.2,LOCID000041
1953,33.4,LOCID000041
1954,34,LOCID000041
1955,30.7,LOCID000041
1956,30.7,LOCID000041
1957,36.8,LOCID000041
1958,33.2,LOCID000041
1959,37.9,LOCID000041
1960,32.1,LOCID000041
1961,33.1,LOCID000041
1962,30.9,LOCID000041
1963,35.2,LOCID000041
1964,34.8,LOCID000041
1965,31.4,LOCID000041
1966,35.8,LOCID000041
1967,32.2,LOCID000041
1968,31.1,LOCID000041
1969,33.6,LOCID000041
1970,32.3,LOCID000041
1971,33.9,LOCID000041
1972,32.8,LOCID000041
