year,cdd,Station,csdi,cwd,DTR,FD,gsl,ID,prcptot,R10mm,R20mm,r95p,r99p,Rnnmm,RX1day,RX5day,sdii,SU,TN10p,TN50p,TN90p,TNn,TNx,TR,TX10p,TX50p,TX90p,TXn,TXx,wsdi,Station_name
1952,22.0,61700004063,0.0,7.0,8.3,100.0,236.0,22.0,788.6,23.0,5.0,219.7,29.7,1.0,29.7,49.4,6.3,39.0,10.68,49.86,12.33,-13.5,22.5,4.0,10.68,41.92,9.32,-7.2,36.2,20.0,
1953,33.0,61700004063,0.0,6.0,9.39,102.0,235.0,22.0,407.8,8.0,2.0,62.1,0.0,1.0,25.8,49.6,4.8,44.0,6.03,55.62,14.52,-15.0,17.6,0.0,6.03,56.44,13.97,-7.5,31.8,18.0,
1954,17.0,61700004063,15.0,7.0,8.55,91.0,246.0,26.0,735.1,19.0,3.0,180.4,102.0,2.0,59.9,96.9,5.9,20.0,12.05,52.6,7.12,-16.7,17.0,0.0,12.05,48.77,7.67,-10.9,32.8,0.0,
1955,22.0,61700004063,0.0,7.0,8.51,124.0,220.0,22.0,651.5,16.0,3.0,124.5,27.8,2.0,27.8,45.3,5.3,21.0,9.86,43.01,7.95,-17.0,16.6,0.0,9.86,38.9,3.84,-3.3,30.3,0.0,
1956,20.0,61700004063,22.0,9.0,8.42,107.0,220.0,46.0,787.0,19.0,6.0,271.4,100.2,4.0,40.5,55.1,6.0,16.0,20.0,42.74,9.59,-25.3,17.1,0.0,20.0,38.63,5.48,-15.3,27.8,0.0,
1957,19.0,61700004063,0.0,8.0,8.69,93.0,253.0,18.0,664.4,17.0,2.0,133.8,0.0,0.0,22.7,54.8,5.5,34.0,9.59,54.52,15.07,-13.8,20.6,2.0,9.59,52.6,11.78,-4.5,37.2,6.0,
1958,27.0,61700004063,0.0,6.0,8.3,88.0,286.0,16.0,709.1,18.0,2.0,159.7,86.7,2.0,52.9,91.4,6.0,31.0,8.22,53.7,9.86,-13.3,18.3,0.0,8.22,48.49,6.58,-3.0,31.4,8.0,
1959,35.0,61700004063,14.0,9.0,11.65,124.0,248.0,11.0,461.9,7.0,4.0,167.3,104.3,3.0,69.5,86.1,5.2,57.0,1.64,44.11,5.75,-12.6,19.8,0.0,1.64,66.58,16.99,-3.6,36.0,0.0,
1960,16.0,61700004063,0.0,7.0,9.45,91.0,285.0,18.0,613.4,12.0,2.0,117.7,44.9,1.0,44.9,49.7,4.6,28.0,7.67,48.49,8.77,-23.3,15.7,0.0,7.67,53.97,7.4,-9.4,31.8,0.0,
1961,27.0,61700004063,0.0,6.0,9.64,87.0,257.0,18.0,602.6,17.0,2.0,59.2,0.0,0.0,23.3,39.8,5.1,38.0,9.56,51.62,13.82,-17.6,17.0,0.0,9.56,56.96,18.01,-7.2,31.8,24.0,
1962,27.0,61700004063,29.0,7.0,9.98,113.0,196.0,29.0,464.1,9.0,0.0,33.5,0.0,0.0,17.2,43.6,4.4,34.0,16.78,35.12,6.23,-22.4,17.2,0.0,16.78,41.89,10.94,-11.8,34.0,7.0,
1963,20.0,61700004063,18.0,6.0,10.27,124.0,239.0,60.0,541.4,14.0,4.0,170.6,30.2,2.0,30.2,46.0,5.6,33.0,16.86,41.5,7.73,-25.0,17.8,0.0,16.86,45.59,4.9,-10.2,34.0,0.0,
1964,23.0,61700004063,7.0,6.0,9.94,102.0,252.0,30.0,384.7,6.0,1.0,25.1,0.0,1.0,25.1,34.5,4.1,56.0,10.6,45.17,9.49,-22.6,19.4,0.0,10.6,46.78,12.62,-9.8,34.5,0.0,
1965,32.0,61700004063,0.0,10.0,8.84,106.0,230.0,20.0,883.5,24.0,5.0,176.5,38.2,1.0,38.2,53.7,5.8,19.0,11.64,45.8,4.0,-19.2,17.5,0.0,11.64,44.86,4.88,-2.8,32.8,0.0,
1966,15.0,61700004063,6.0,8.0,8.79,84.0,266.0,17.0,822.6,24.0,3.0,146.3,57.4,2.0,29.5,75.0,5.6,34.0,9.65,52.4,13.38,-21.6,16.6,0.0,9.65,52.22,14.39,-10.4,34.3,0.0,
1967,18.0,61700004063,0.0,6.0,9.56,91.0,253.0,17.0,567.8,15.0,3.0,88.4,29.0,1.0,29.0,45.2,4.9,40.0,7.02,51.86,11.27,-21.5,18.0,0.0,7.02,58.36,12.96,-11.4,34.3,0.0,
